City,total_price
CHELMSFORD,55693.75
GOOLE,65000.0
STOURBRIDGE,56250.0
GLOUCESTER,63250.0
NEWCASTLE UPON TYNE,56841.333333333336
DURHAM,50500.0
NORTH SHIELDS,37500.0
HIGHBRIDGE,32500.0
WETHERBY,60875.0
PONTYPOOL,34000.0
HAYLE,39000.0
POTTERS BAR,84000.0
ADDLESTONE,40000.0
TORQUAY,59000.0
KIDDERMINSTER,48500.0
PORTHCAWL,52000.0
CAMBRIDGE,177000.0
IPSWICH,39500.0
SCARBOROUGH,45500.0
WAKEFIELD,18899.0
WEYBRIDGE,275000.0
HARTLEPOOL,59500.0
EDGWARE,79950.0
CARSHALTON,60000.0
HALIFAX,49950.0
GUILDFORD,68950.0
COTTINGHAM,45000.0
TELFORD,63000.0
NUNEATON,70750.0
ROMSEY,56000.0
WORCESTER,72000.0
BUCKINGHAM,54000.0
BLYTH,18000.0
CRAWLEY,61500.0
AYLESBURY,172000.0
WIRRAL,71333.33333333333
CLEATOR MOOR,63000.0
PENZANCE,48250.0
LYME REGIS,41500.0
WALLSEND,33000.0
OXTED,136000.0
WALTON ON THE NAZE,38000.0
