TransactionId,PropertyType,County
{C675A9E1-4766-4C07-92CD-8E6407C0F74C},S,GREATER LONDON
{11628477-0E78-44C4-AFC2-8E642989101A},D,NORTHAMPTONSHIRE
{98E7C2BE-1F0F-485F-B253-1E4101F4871F},D,GREATER MANCHESTER
{0E67C43D-29A3-4EA2-B52B-1E41299744C9},T,GREATER MANCHESTER
{4BCAA2AC-55A9-43C5-9FA0-171BC48CE3D3},T,SOUTH YORKSHIRE
{C428ABAE-D098-4878-8D7C-171BCD605D28},T,GREATER MANCHESTER
{21166350-17C8-46C1-87F4-25676FE1A475},T,WEST YORKSHIRE
{7A918359-1148-4B55-8764-25679B4985F0},D,LEICESTERSHIRE
{45AB5C06-B9B7-4F91-B1C6-1AB2E53FD2AB},S,DERBYSHIRE
{5635F50B-ABFA-4AB2-8FCD-1AB2E6958BAE},F,GREATER LONDON
{CA6AA168-F43F-465E-A92A-1AB2F2764758},S,SUFFOLK
{5B74DF3B-A45D-4B04-82C3-1AB2FB876AF6},S,GREATER LONDON
{99AD46F0-7774-4AC0-ADEF-1AB3250FF7FE},T,ESSEX
{AB49DA76-BE22-4E42-86F0-21D26A915B22},D,SOUTHEND-ON-SEA
{0546526D-3E2A-4EF8-97F9-21D272C8CE43},S,WEST YORKSHIRE
{1CF84E0A-6D03-4591-8EEC-1E41417152EE},S,HAMPSHIRE
{9A54F51D-BEF5-451C-B45E-1E41458672CF},T,GREATER MANCHESTER
{DD3E4523-B1C1-4817-B9C6-1E4157F20C4D},T,HERTFORDSHIRE
{43A99DD8-8301-4F86-B215-171C0B85F93F},S,GREATER MANCHESTER
{C4745717-0D5C-4925-81FF-171C14C8CB59},S,CLWYD
{4FD987C0-0125-4026-9C8C-1AB32B422632},S,GREATER LONDON
{A61475B5-8200-433F-A37A-1AB34B2CA8EA},T,MERSEYSIDE
{4E52219F-2C6D-4499-A0B2-1AB356FFBABD},S,GREATER MANCHESTER
{92D6DDBC-329C-47DD-BF05-1E417E9423BE},F,ESSEX
{0A03A0D4-E418-4B9D-A285-1E418F092BFB},T,BLAENAU GWENT
{7322317F-6877-4A49-B8FB-171C2C923C39},T,PORTSMOUTH
{DBCC8951-ADBF-4091-AE95-171C5301E517},S,LANCASHIRE
{851C727E-329A-4D48-B284-2567EA7B5C0A},S,GREATER LONDON
{5AEF80CF-CE3F-47E3-8A89-2567F27C601C},S,DERBYSHIRE
{31D8C561-340C-4747-A3BB-2567F42DEBBE},T,KENT
{AADD7228-C9F7-4609-B9D1-256802B7FBE3},T,WEST YORKSHIRE
{22B2DE40-955D-4A11-BA43-25680910A558},S,HUMBERSIDE
{227EC879-6FE4-4C60-A190-25680A311D92},S,KENT
{A7277EF9-0742-45E1-A91B-256812EBCC9E},S,WEST YORKSHIRE
{8AC763E4-FE8C-49D5-9244-2568193CE430},S,STOCKTON-ON-TEES
{DF59BC8E-1994-406D-A823-1AB376D32E88},T,SOUTH GLAMORGAN
{DAAA8BB4-C5CB-460C-A57C-21D2FB310DF8},S,CAMBRIDGESHIRE
{FA880B46-749C-4B4A-BADC-21D30108B5AF},S,MID GLAMORGAN
{30C44F8E-0778-4A88-9AA2-1E41D2DE563E},S,SOUTH YORKSHIRE
{648332DD-30F1-49B8-BE5C-1E41D4B8CC10},F,EAST SUSSEX
{63849EBA-A425-4928-8B14-1E41DB4A05DB},T,MID GLAMORGAN
{F34A75F8-8B20-44D4-8D11-1E41E08EB2C1},T,GREATER LONDON
{20D7A610-DA85-42BC-BAE2-171C7F8A2AED},D,WEST SUSSEX
{5C8D6076-A0A2-4BE2-8E96-171C8E157CCE},D,KENT
{190B1E9B-6639-430E-9EC0-171C96E46485},D,WEST SUSSEX
{B47D6E95-5AD9-4186-A07E-171CA0D0350D},T,SUFFOLK
{B9D254E9-F310-4EFF-BED2-171CACB34465},D,BUCKINGHAMSHIRE
{F0D0A3AA-B0BE-403D-A07D-25682D8FB9C2},S,TORBAY
{DB9ED803-E06E-4420-A4B3-25682FD4D71E},F,WEST SUSSEX
{13CC2E41-656C-4666-AD2E-25685F0BD230},D,BEDFORDSHIRE
{8EF7CA0C-3921-48D1-B734-21D32B00A29D},S,SUFFOLK
{6B41A679-B377-4F6E-A0DA-21D36E11B5DE},D,BERKSHIRE
{02A12AAD-7841-4C62-836B-1E42091885AD},S,LANCASHIRE
{5CB9F45F-E210-4F17-ABB2-171CCA69143E},T,WEST YORKSHIRE
{7DDC7AFF-5016-493A-85D7-171CCBB390A0},S,SHROPSHIRE
{3423A7EB-57E2-4C22-A755-25687BE0426A},T,HAMPSHIRE
{D7A776AD-87F6-4F65-A824-2568977013D7},D,CORNWALL
{7084DA04-5B97-4CB4-A0AF-1AB3F8940D9D},D,LEICESTERSHIRE
{C83A1EE9-7788-4AFD-BA5D-1AB3F8D215AA},S,GREATER MANCHESTER
{1BC95370-A366-4332-B20A-1AB410B53F9D},T,BERKSHIRE
