Price,District
53750,STOCKTON-ON-TEES
53500,BLABY
53500,ASHFORD
52995,CASTLE POINT
52995,GREENWICH
52450,COLCHESTER
52000,OGWR
52000,MANCHESTER
52000,CHESTER
52000,TENDRING
52000,ENFIELD
52000,EAST DORSET
52000,SOUTH HEREFORDSHIRE
51500,MANCHESTER
51000,HARBOROUGH
51000,LEICESTER
50000,RUSHCLIFFE
50000,PORTSMOUTH
50000,SOUTHAMPTON
50000,CHESTER-LE-STREET
49950,CALDERDALE
49500,TAMESIDE
49500,BRADFORD
49250,NEWBURY
49000,WIRRAL
49000,HAVANT
49000,SOUTH HEREFORDSHIRE
49000,PORTSMOUTH
48950,BIRMINGHAM
48950,NORTH NORFOLK
48950,THE EAST YORKSHIRE BOROUGH OF BEVERLEY
48750,TAMWORTH
48500,WYRE FOREST
48500,SUFFOLK COASTAL
48500,ST EDMUNDSBURY
48000,CHICHESTER
48000,TONBRIDGE AND MALLING
48000,EASTLEIGH
48000,LEWES
47995,VALE OF GLAMORGAN
47000,LEEDS
47000,HERTSMERE
47000,CANTERBURY
47000,BOOTHFERRY
46950,LEICESTER
46500,SOUTHAMPTON
46500,BRISTOL
46500,NEWPORT
46500,BRADFORD
46500,OGWR
46000,CHELMSFORD
46000,COLCHESTER
46000,NEWCASTLE UPON TYNE
46000,WOODSPRING
46000,NOTTINGHAM
45950,BURY
45700,SHEPWAY
45500,DUDLEY
45500,DACORUM
45000,SEDGEMOOR
45000,BLAENAU GWENT
45000,SOUTH HOLLAND
45000,THE EAST YORKSHIRE BOROUGH OF BEVERLEY
45000,KIRKLEES
45000,TORBAY
44750,GEDLING
44500,EASTBOURNE
44500,VALE OF GLAMORGAN
44475,LIVERPOOL
44000,CHELMSFORD
44000,BABERGH
44000,DUDLEY
44000,STRATFORD-ON-AVON
43750,PLYMOUTH
43500,STOCKPORT
43500,STOCKTON-ON-TEES
43500,NORTHAMPTON
43500,DONCASTER
43150,NORTH BEDFORDSHIRE
43000,CRAVEN
43000,CANNOCK CHASE
42500,THURROCK
42500,TAFF-ELY
42000,NEWCASTLE UPON TYNE
42000,HERTSMERE
42000,TEST VALLEY
41950,PLYMOUTH
41500,WEST DORSET
41000,TORRIDGE
41000,ST HELENS
41000,IPSWICH
41000,DURHAM
41000,PENWITH
40500,KIRKLEES
40500,BARNSLEY
40500,ASHFORD
40000,MIDDLESBROUGH
40000,BRIGHTON
40000,HIGH PEAK
40000,RUNNYMEDE
40000,WAVENEY
40000,BASSETLAW
40000,COLCHESTER
40000,CHESTERFIELD
40000,SANDWELL
39950,DUDLEY
39500,LEEDS
39000,MEDINA
39000,ARUN
39000,PENWITH
39000,NORTH WILTSHIRE
39000,LIVERPOOL
39000,BRISTOL
39000,LANCASTER
39000,CARADON
38500,ALYN AND DEESIDE
38500,NORTH SHROPSHIRE
38500,TAFF-ELY
38000,TRAFFORD
38000,CARRICK
38000,IPSWICH
38000,PETERBOROUGH
37950,CALDERDALE
37500,WIRRAL
37500,COLWYN
37500,NORTH TYNESIDE
37100,NORTH TYNESIDE
37000,WIGAN
37000,SANDWELL
37000,WALSALL
37000,KIRKLEES
36500,SOUTH KESTEVEN
36500,STAFFORDSHIRE MOORLANDS
36000,HINCKLEY AND BOSWORTH
36000,RHYMNEY VALLEY
36000,WAVENEY
36000,SUFFOLK COASTAL
35500,SALFORD
35500,STOKE-ON-TRENT
35500,CHESTERFIELD
35200,NORTH HERTFORDSHIRE
35050,BRIGHTON
35000,LLIW VALLEY
35000,LIVERPOOL
35000,ABERCONWY
35000,BRADFORD
35000,PRESELI PEMBROKESHIRE
35000,EAST YORKSHIRE
35000,SHEPWAY
35000,ARFON
34500,LINCOLN
34000,SHEFFIELD
34000,CONGLETON
34000,WYRE
34000,OLDHAM
34000,CALDERDALE
34000,TORFAEN
33500,LANCASTER
33500,NOTTINGHAM
33000,BIRMINGHAM
33000,COVENTRY
33000,BLACKBURN
33000,NEWCASTLE-UNDER-LYME
33000,NORTH TYNESIDE
32995,LLIW VALLEY
32500,THAMESDOWN
32500,HOVE
32000,LIVERPOOL
32000,NORTH HERTFORDSHIRE
31500,SEDGEMOOR
31000,RESTORMEL
31000,SOUTH BEDFORDSHIRE
31000,WIGAN
30350,OLDHAM
30000,COLCHESTER
30000,NOTTINGHAM
30000,MIDDLESBROUGH
29995,MILTON KEYNES
29995,KING'S LYNN AND WEST NORFOLK
29995,DERBY
29950,SUNDERLAND
29000,BOLTON
28500,SEFTON
28500,BIRMINGHAM
28000,SOUTH RIBBLE
28000,MANSFIELD
27500,MANCHESTER
27500,COVENTRY
27000,THE EAST YORKSHIRE BOROUGH OF BEVERLEY
27000,CONWY
27000,MANCHESTER
26900,LANGBAURGH-ON-TEES
26500,SOUTH SOMERSET
26500,SHEFFIELD
26350,DONCASTER
26000,LEICESTER
25500,HINCKLEY AND BOSWORTH
25000,OLDHAM
25000,HIGH PEAK
25000,SCARBOROUGH
25000,BIRMINGHAM
24000,LIVERPOOL
23950,SOUTH KESTEVEN
23500,SOUTHEND-ON-SEA
23250,VALE OF GLAMORGAN
23000,NORTHAMPTON
23000,HOVE
23000,NUNEATON AND BEDWORTH
23000,STOKE-ON-TRENT
22948,GATESHEAD
22500,BRECKLAND
22500,MANCHESTER
21500,SWANSEA
20625,HUNTINGDONSHIRE
20500,BRADFORD
20500,MANSFIELD
20060,BURY
20000,SEDGEMOOR
20000,BRADFORD
19500,WIRRAL
19000,CASTLE MORPETH
18899,LEEDS
18750,SANDWELL
18000,BLAENAU GWENT
18000,BLYTH VALLEY
17000,BASSETLAW
16000,BOLSOVER
15000,TENDRING
15000,MANCHESTER
15000,MANSFIELD
15000,KINGSTON UPON HULL
14000,ARUN
10000,RHONDDA
10000,LIVERPOOL
6950,NORTH EAST DERBYSHIRE
